id,,Informasi umum,Nama entitas,Penjelasan perubahan nama dari akhir periode laporan sebelumnya,Kode entitas,Nomor identifikasi entitas,Industri utama entitas,Sektor,Subsektor,Informasi pemegang saham pengendali,Jenis entitas,Jenis efek yang dicatatkan,Jenis papan perdagangan tempat entitas tercatat,Apakah merupakan laporan keuangan satu entitas atau suatu kelompok entitas,Periode penyampaian laporan keuangan,Tanggal awal periode berjalan,Tanggal akhir periode berjalan,Tanggal akhir tahun sebelumnya,Tanggal awal periode sebelumnya,Tanggal akhir periode sebelumnya,Mata uang pelaporan,Kurs konversi pada tanggal pelaporan jika mata uang penyajian selain rupiah,Pembulatan yang digunakan dalam penyajian jumlah dalam laporan keuangan,Jenis laporan atas laporan keuangan,Jenis opini auditor,"Hal yang diungkapkan dalam paragraf pendapat untuk penekanan atas suatu masalah atau paragraf penjelasan lainnya, jika ada",Hasil penugasan review,Tanggal laporan audit atau hasil laporan review,Auditor tahun berjalan,Nama partner audit tahun berjalan,Lama tahun penugasan partner yang menandatangani,Auditor tahun sebelumnya,Nama partner audit tahun sebelumnya,Kepatuhan terhadap pemenuhan peraturan BAPEPAM LK VIII G 11 tentang tanggung jawab direksi atas laporan keuangan,Kepatuhan terhadap pemenuhan peraturan BAPEPAM LK VIII A dua tentang independensi akuntan yang memberikan jasa audit di pasar modal
2018AuditAALIFinancialStatement2018TahunanAALIxlsx.xlsx,31 December 2018,,Astra Agro Lestari Tbk,,AALI,AA298,Umum / General,1. Agriculture,12. Plantation,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"February 20, 2019","Tanudiredja, Wibisana, Rintis & Rekan","Buntoro Rianto, S.E., Ak., CPA",1 Tahun / 1 Years,"Tanudiredja, Wibisana, Rintis & Rekan","Andry D. Atmadja, S.E., Ak., CPA",Ya / Yes,Ya / Yes
2018AuditABBAFinancialStatement2018TahunanABBAxlsx.xlsx,31 December 2018,,Mahaka Media Tbk,,ABBA,AA384,Umum / General,"9. Trade, Services & Investment","95. Advertising, Printing And Media",Individual WNI,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019",Aria & Jonnardi,Aria Kanaka & Rekan,,Aria & Jonnardi,Aria Kanaka & Rekan,Ya / Yes,Ya / Yes
2018AuditABDAFinancialStatement2018TahunanABDAxlsx.xlsx,31 December 2018,,Asuransi Bina Dana Arta Tbk,,ABDA,AA030,Asuransi / Insurance,8. Finance,84. Insurance,Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"February 28, 2019","Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan","Retno Dwi Andani, S.E., Ak., CPA, CA",,"Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan","Retno Dwi Andani, S.E., Ak., CPA, CA",Ya / Yes,Ya / Yes
2018AuditABMMFinancialStatement2018TahunanABMMxlsx.xlsx,31 December 2018,,ABM Investama Tbk,,ABMM,AA600,Umum / General,"9. Trade, Services & Investment",98. Investment Company,Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019","Purwantono, Suherman & Surja",Peter Surja,2,"Purwantono, Suherman & Surja",Peter Surja,Ya / Yes,Ya / Yes
2018AuditACESFinancialStatement2018TahunanACESxlsx.xlsx,31 December 2018,,Ace Hardware Indonesia Tbk,,ACES,AA492,Umum / General,"9. Trade, Services & Investment",93. Retail Trade,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 26, 2019","Aryanto, Amir Jusuf, Mawar & Saptoto",Donny Iskandar Maramis,,"Aryanto, Amir Jusuf, Mawar & Saptoto",Leknor Joni,Ya / Yes,Ya / Yes
2018AuditACSTFinancialStatement2018TahunanACSTxlsx.xlsx,31 December 2018,,PT Acset Indonusa Tbk.,,ACST,AA649,Umum / General,"6. Property, Real Estate And Building Construction",62. Building Construction,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"February 25, 2019","Tanudiredja, Wibisana & Rekan","Nita Skolastika Ruslim, CPA",,"Tanudiredja, Wibisana & Rekan","Nita Skolastika Ruslim, CPA",Ya / Yes,Ya / Yes
2018AuditADESFinancialStatement2018TahunanADESxlsx.xlsx,31 December 2018,,Akasha Wira International Tbk  Tbk,,ADES,AA195,Umum / General,5. Consumer Goods Industry,51. Food And Beverages,Foreign Corporation,Foreign Company,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 15, 2019",Tanubrata Sutanto Fahmi dan Rekan,Raden Ginandjar,,Tanubrata Sutanto Fahmi dan Rekan,Raden Ginandjar,Ya / Yes,Ya / Yes
2018AuditADHIFinancialStatement2018TahunanADHIxlsx.xlsx,31 December 2018,,PT Adhi Karya (Persero) Tbk.,,ADHI,AA435,Properti / Property,"6. Property, Real Estate And Building Construction",62. Building Construction,Indonesian Government,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 25, 2019","Amir Abadi Jusuf, Aryanto, Mawar & Rekan, Firma anggota dari jaringan global RSM",Rusli,1,Hertanto Grace Karunawan,Hertanto,Ya / Yes,Ya / Yes
2018AuditADMFFinancialStatement2018TahunanADMFxlsx.xlsx,31 December 2018,,Adira Dinamika Multi Finance Tbk,,ADMF,AA437,Pembiayaan / Financing,8. Finance,82. Financial Institution,National Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"January 28, 2019","Tanudiredja, Wibisana, Rintis & Rekan","Drs. M. Jusuf Wibisana, M.Ec., CPA",,"Tanudiredja, Wibisana, Rintis, & Rekan","Lucy Luciana Suhenda, S.E., Ak., CPA",Ya / Yes,Ya / Yes
2018AuditADMGFinancialStatement2018TahunanADMGxlsx.xlsx,31 December 2018,,Polychem Indonesia Tbk,,ADMG,AA175,Umum / General,3. Basic Industry And Chemicals,34. Chemicals,National and Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019",Osman Bing Satrio & Eny,"Bing Harianto, SE",,Osman Bing Satrio & Rekan,"Bing Harianto, SE",Ya / Yes,Ya / Yes
